Address,Latitude,Longitude,Property Type,Bedrooms,Bathrooms,Parking Spaces,Price,Auction Date,Description,Agent Name,Agent Phone,Image URL
"MCCX+33 Dennington VIC, Australia",-38.3297680906536,142.44774159870317,House,3,3,1,"$1,189,707",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 198,+61 409 467 664,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.3297680906536,142.44774159870317&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH42GMC+7P,-38.96681218952483,142.52186264858233,House,1,2,2,"$1,572,603",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 350,+61 499 774 700,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.96681218952483,142.52186264858233&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"VW4M+G5 Wrattonbully SA, Australia",-37.143679489293675,140.93294292215344,Unit,4,1,3,"$1,931,254",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 823,+61 406 126 821,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.143679489293675,140.93294292215344&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"XXG8+G9 Wyangala NSW, Australia",-34.023686370319496,148.9659220465617,House,3,2,2,"$823,112",,A beautiful property located in the heart of VIC.,Agent 934,+61 480 177 597,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.023686370319496,148.9659220465617&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"64JQ+8P Minimay VIC, Australia",-36.76921261875772,141.13933575550647,Apartment,3,1,3,"$483,594",,A beautiful property located in the heart of VIC.,Agent 990,+61 485 442 601,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.76921261875772,141.13933575550647&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH3CPHR+VR,-38.57025261222112,141.74202615874003,Unit,1,1,1,"$1,775,199",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 221,+61 432 734 109,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.57025261222112,141.74202615874003&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RQ6FQG3+WF,-34.522666782062544,144.75367750012393,Apartment,5,1,3,"$1,370,502",,A beautiful property located in the heart of VIC.,Agent 683,+61 452 266 413,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.522666782062544,144.75367750012393&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"35R6+FM Wonwondah VIC, Australia",-36.90887302003636,142.16171996444808,Unit,2,1,3,"$1,603,548",,A beautiful property located in the heart of VIC.,Agent 710,+61 450 785 187,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.90887302003636,142.16171996444808&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"876Q+JQ Dunkeld VIC, Australia",-37.68847263652271,142.2893831865805,House,2,3,3,"$956,311",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 306,+61 475 853 661,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.68847263652271,142.2893831865805&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"418 Barringo Rd, New Gisborne VIC 3438, Australia",-37.42695969740794,144.61998091042804,House,2,3,1,"$853,072",,A beautiful property located in the heart of VIC.,Agent 728,+61 467 555 475,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.42695969740794,144.61998091042804&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WP5J+MJ Heywood VIC, Australia",-38.090816760539205,141.7315815878098,Unit,3,1,1,"$1,605,138",,A beautiful property located in the heart of VIC.,Agent 297,+61 496 214 179,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.090816760539205,141.7315815878098&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"124 Clancy Rd, Hopetoun VIC 3396, Australia",-35.78476654962246,142.37311107694504,Unit,3,1,3,"$1,300,486",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 912,+61 476 365 195,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.78476654962246,142.37311107694504&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"9489+95 Tawonga VIC, Australia",-36.63410565580139,147.11795709061036,House,4,2,2,"$1,908,876",,A beautiful property located in the heart of VIC.,Agent 746,+61 466 295 118,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.63410565580139,147.11795709061036&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"4VC5+H5 Woorndoo VIC, Australia",-37.87859557466686,142.85790079626693,Apartment,5,3,3,"$748,761",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 115,+61 435 535 291,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.87859557466686,142.85790079626693&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"509 Campbells Rd, Macorna VIC 3579, Australia",-35.94902879366489,143.99854300935164,House,4,2,1,"$1,994,759",,A beautiful property located in the heart of VIC.,Agent 925,+61 421 484 586,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.94902879366489,143.99854300935164&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"P89V+68 Gidginbung NSW, Australia",-34.28189220024978,147.34333950121282,Apartment,4,3,1,"$1,528,873",,A beautiful property located in the heart of VIC.,Agent 230,+61 496 984 625,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.28189220024978,147.34333950121282&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RHCF7HQ+6H,-38.521907144765684,148.28899540854948,Apartment,3,3,1,"$1,643,884",,A beautiful property located in the heart of VIC.,Agent 692,+61 412 233 645,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.521907144765684,148.28899540854948&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WXFR+W9 Joyces Creek VIC, Australia",-37.07512907976748,143.99092418642655,Apartment,2,1,2,"$1,613,549",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 167,+61 468 163 216,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.07512907976748,143.99092418642655&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"2Q7M+7P Breakaway Creek VIC, Australia",-37.98680489308706,141.784335687389,Unit,5,3,3,"$1,316,977",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 280,+61 422 895 509,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.98680489308706,141.784335687389&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"1 Radford Ct, Hoppers Crossing VIC 3029, Australia",-37.85974368037482,144.69398669379217,House,3,1,1,"$730,034",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 713,+61 487 681 479,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.85974368037482,144.69398669379217&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"49QX+65 Beulah VIC, Australia",-35.861905982601954,142.39798903647937,Unit,3,2,1,"$1,193,097",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 325,+61 476 296 821,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.861905982601954,142.39798903647937&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"28Q5+X2 Lysterfield VIC, Australia",-37.96008610772058,145.3075769941393,House,1,3,3,"$764,504",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 975,+61 485 170 477,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.96008610772058,145.3075769941393&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"97FR+HR Lalbert VIC, Australia",-35.62606423824981,143.2920474783067,House,4,2,2,"$1,830,734",,A beautiful property located in the heart of VIC.,Agent 125,+61 460 100 707,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.62606423824981,143.2920474783067&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"542F+Q9 Tatong VIC, Australia",-36.84808456982437,146.1234083094224,Apartment,5,2,1,"$1,595,322",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 904,+61 499 857 631,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.84808456982437,146.1234083094224&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RQ5QPFW+4G,-34.22712832101301,143.746284283205,Unit,3,2,3,"$778,483",,A beautiful property located in the heart of VIC.,Agent 837,+61 446 743 616,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.22712832101301,143.746284283205&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"204 Moyston-Willaura Rd, Moyston VIC 3377, Australia",-37.31940875471782,142.76924461282562,Apartment,2,3,1,"$1,447,111",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 605,+61 407 156 799,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.31940875471782,142.76924461282562&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"357V+M4 Mumbannar VIC, Australia",-37.935757502111436,141.1928584311832,Apartment,3,2,1,"$1,494,840",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 372,+61 409 261 376,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.935757502111436,141.1928584311832&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH78272+5Q,-38.68703755935919,145.0018754966946,House,5,3,1,"$1,620,723",,A beautiful property located in the heart of VIC.,Agent 226,+61 479 184 396,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.68703755935919,145.0018754966946&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WM72+VM Yarck VIC, Australia",-37.08529647567834,145.65169386344527,House,5,2,2,"$1,990,435",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 207,+61 481 248 216,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.08529647567834,145.65169386344527&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"Q68F+H5 Urana NSW, Australia",-35.23359545705821,146.22290954379898,Apartment,2,3,1,"$860,375",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 850,+61 418 510 114,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.23359545705821,146.22290954379898&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"3373+CM Puckapunyal VIC, Australia",-36.93647770400574,145.05421450128281,House,4,2,2,"$1,011,285",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 380,+61 483 123 390,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.93647770400574,145.05421450128281&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RHCW25Q+P4,-38.09067174979437,148.03775702715245,Unit,4,2,1,"$1,337,532",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 256,+61 412 578 891,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.09067174979437,148.03775702715245&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"4GQR+HQ Glen Valley VIC, Australia",-36.86102339442767,147.54190636398548,Apartment,3,2,1,"$1,061,029",,A beautiful property located in the heart of VIC.,Agent 613,+61 405 238 331,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.86102339442767,147.54190636398548&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH37PV6+FR,-38.70633946990364,141.71206100694607,Apartment,2,3,1,"$1,814,587",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 844,+61 474 536 807,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.70633946990364,141.71206100694607&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"V7MH+WJ Towan VIC, Australia",-35.115164173878604,143.27907340296136,Apartment,1,1,2,"$558,079",,A beautiful property located in the heart of VIC.,Agent 625,+61 424 910 526,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.115164173878604,143.27907340296136&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH96WCJ+MR,-38.77828489565705,147.93203472309423,Apartment,4,2,1,"$1,213,443",,A beautiful property located in the heart of VIC.,Agent 568,+61 465 493 759,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.77828489565705,147.93203472309423&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"7R2R+GJ Wallaloo VIC, Australia",-36.74874588502925,142.84153220705025,House,1,2,1,"$1,801,547",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 156,+61 449 313 969,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.74874588502925,142.84153220705025&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"3W55+PC Jindera NSW, Australia",-35.94072350207092,146.9085394412239,Apartment,5,1,2,"$451,363",Sun 03 Nov 02:54 AM,A beautiful property located in the heart of VIC.,Agent 721,+61 496 449 564,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.94072350207092,146.9085394412239&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RHCQ54F+5M,-38.244615930470694,148.17421937714508,Unit,1,2,2,"$1,695,452",,A beautiful property located in the heart of VIC.,Agent 994,+61 425 223 597,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.244615930470694,148.17421937714508&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"58JM+XJ Towaninny VIC, Australia",-35.817586386780356,143.33404754895693,Apartment,2,1,3,"$1,931,662",,A beautiful property located in the heart of VIC.,Agent 370,+61 497 293 748,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.817586386780356,143.33404754895693&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"PMGH+W4 Tarcutta NSW, Australia",-35.272691097539614,147.6778426620612,Unit,1,1,3,"$1,225,311",,A beautiful property located in the heart of VIC.,Agent 170,+61 445 882 778,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.272691097539614,147.6778426620612&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"F5X2+22 Summerlands VIC, Australia",-38.50240872553212,145.15000012295167,House,4,1,3,"$1,950,962",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 376,+61 415 249 208,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.50240872553212,145.15000012295167&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"H8QJ+W7 Burrandana NSW, Australia",-35.41021570790503,147.33065974945265,House,1,3,1,"$1,399,850",,A beautiful property located in the heart of VIC.,Agent 295,+61 462 778 686,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.41021570790503,147.33065974945265&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"69WG+43 Iguana Creek VIC, Australia",-37.754727874818876,147.37519842772667,Unit,4,1,3,"$657,200",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 160,+61 426 867 214,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.754727874818876,147.37519842772667&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RH9427Q+MJ,-38.88578870333701,147.0390789289335,House,1,1,3,"$1,576,717",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 214,+61 414 471 369,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.88578870333701,147.0390789289335&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"2724+XP Piangil VIC, Australia",-34.997572966581956,143.25680783057948,House,1,3,3,"$1,252,031",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 455,+61 448 233 521,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.997572966581956,143.25680783057948&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"CJW8+4V Coleraine VIC, Australia",-37.55472502959491,141.6171650453329,House,5,1,2,"$814,427",,A beautiful property located in the heart of VIC.,Agent 577,+61 448 669 688,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.55472502959491,141.6171650453329&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"MFH4+WQ Burrungubugge NSW, Australia",-36.32017945112178,148.4569446575983,Apartment,1,2,3,"$1,596,225",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 285,+61 409 695 441,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.32017945112178,148.4569446575983&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"CV27+V9 Nariel Valley VIC, Australia",-36.59777642972529,147.8633949081617,Unit,4,1,1,"$1,908,372",,A beautiful property located in the heart of VIC.,Agent 211,+61 471 199 394,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.59777642972529,147.8633949081617&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"M37V+6Q Rocklands VIC, Australia",-37.33692362458139,142.09445734807136,Unit,5,1,3,"$1,163,399",,A beautiful property located in the heart of VIC.,Agent 712,+61 420 445 103,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.33692362458139,142.09445734807136&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"29QP+CV Downside NSW, Australia",-34.9614109984373,147.38720245765097,Unit,3,3,3,"$554,122",,A beautiful property located in the heart of VIC.,Agent 208,+61 478 648 772,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.9614109984373,147.38720245765097&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"MXMW+V3 Milvale NSW, Australia",-34.31531138106108,147.99517956701433,House,2,3,3,"$773,489",,A beautiful property located in the heart of VIC.,Agent 918,+61 445 867 765,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.31531138106108,147.99517956701433&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"36V3+HH Falls Creek VIC, Australia",-36.90607759601848,147.20398254148762,House,5,1,1,"$651,108",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 794,+61 466 635 754,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.90607759601848,147.20398254148762&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"983H+X9 Christmas Hills VIC, Australia",-37.64508566352934,145.328471921385,House,3,1,2,"$930,601",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 899,+61 407 747 489,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.64508566352934,145.328471921385&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"V37M+VG Crowlands VIC, Australia",-37.13529114482387,143.0838058895782,House,5,2,2,"$1,520,096",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 749,+61 430 939 578,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.13529114482387,143.0838058895782&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"RQM2+29 Gerahmin VIC, Australia",-35.16737679905906,142.75095798542148,Unit,4,2,3,"$1,281,660",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 107,+61 413 981 593,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.16737679905906,142.75095798542148&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"4QF8+JM Munderoo NSW, Australia",-35.87590678671249,147.76671666346667,Apartment,3,2,2,"$830,498",,A beautiful property located in the heart of VIC.,Agent 854,+61 446 995 454,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.87590678671249,147.76671666346667&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"563H+3V Cobberas VIC, Australia",-36.847329019052744,148.22965233855035,House,2,1,2,"$1,787,075",,A beautiful property located in the heart of VIC.,Agent 631,+61 439 524 274,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.847329019052744,148.22965233855035&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"F2MC+JV Woodside VIC, Australia",-38.5158852268684,147.0221465243037,House,1,2,1,"$1,415,994",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 600,+61 487 332 275,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.5158852268684,147.0221465243037&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"GWH8+XQ Brucknell VIC, Australia",-38.470105745506366,142.9169492117491,Apartment,5,1,1,"$1,831,358",,A beautiful property located in the heart of VIC.,Agent 883,+61 482 477 515,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.470105745506366,142.9169492117491&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RQ379P6+9M,-34.714054659614604,141.36163913350515,House,2,1,1,"$1,359,627",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 899,+61 457 333 452,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-34.714054659614604,141.36163913350515&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"WMH7+M6 Wee Jasper NSW, Australia",-35.07086729561093,148.66307991929926,Unit,4,3,1,"$1,393,025",,A beautiful property located in the heart of VIC.,Agent 473,+61 476 136 530,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.07086729561093,148.66307991929926&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
4RP37FV7+FV,-35.70633793704061,141.46465274889215,Unit,3,2,2,"$1,585,516",Sun 03 Nov 02:55 AM,A beautiful property located in the heart of VIC.,Agent 597,+61 430 996 759,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.70633793704061,141.46465274889215&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"7M99+JR Sandhill Lake VIC, Australia",-35.730987938166976,143.66950806546168,House,2,3,1,"$1,954,913",,A beautiful property located in the heart of VIC.,Agent 560,+61 455 335 521,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-35.730987938166976,143.66950806546168&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
"4JJ4+2G, Knowsley VIC 3523, Australia",-36.86959071160851,144.6051461408179,House,2,3,3,"$928,699",,A beautiful property located in the heart of VIC.,Agent 387,+61 486 397 634,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-36.86959071160851,144.6051461408179&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI"
