Address,City,State,Postal Code,Price,Bedrooms,Bathrooms,Parking Spaces,Description,Latitude,Longitude,Image URL,Search Keywords
"47 Heatherhill Rd, Frankston VIC 3199, Australia",Victoria,VIC,3199,$1061K,3,2,2,Beautiful residential property located in the heart of Victoria.,-38.159276,145.142518,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.159276,145.142518&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '47', '3199', '3 beds', '2 baths']"
"160 Ryans Rise, Clonbinane VIC 3658, Australia",Victoria,VIC,3658,$972K,5,1,1,Beautiful residential property located in the heart of Victoria.,-37.350755,145.082364,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.350755,145.082364&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '160', '3658', '5 beds', '1 baths']"
"14 Whiton Grove, Wyndham Vale VIC 3024, Australia",Victoria,VIC,3024,$441K,4,1,3,Beautiful residential property located in the heart of Victoria.,-37.888896,144.626806,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.888896,144.626806&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '14', '3024', '4 beds', '1 baths']"
"53 Smiths Ln, Clyde North VIC 3978, Australia",Victoria,VIC,3978,$774K,1,2,3,Beautiful residential property located in the heart of Victoria.,-38.098933,145.378108,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.098933,145.378108&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '53', '3978', '1 beds', '2 baths']"
"101 Goldfields Bvd, Clyde North VIC 3978, Australia",Victoria,VIC,3978,$1196K,1,1,3,Beautiful residential property located in the heart of Victoria.,-38.118356,145.357316,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.118356,145.357316&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '101', '3978', '1 beds', '1 baths']"
"38 Mortar Rdg, Mernda VIC 3754, Australia",Victoria,VIC,3754,$1125K,1,1,2,Beautiful residential property located in the heart of Victoria.,-37.60871,145.078102,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.60871,145.078102&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '38', '3754', '1 beds', '1 baths']"
"66 Strathclyde Cres, Woodend VIC 3442, Australia",Victoria,VIC,3442,$646K,1,1,1,Beautiful residential property located in the heart of Victoria.,-37.383489,144.519908,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.383489,144.519908&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '66', '3442', '1 beds', '1 baths']"
"286 Hallam Rd, Hampton Park VIC 3976, Australia",Victoria,VIC,3976,$364K,2,2,1,Beautiful residential property located in the heart of Victoria.,-38.052215,145.26898,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.052215,145.26898&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '286', '3976', '2 beds', '2 baths']"
"Group Camp, 451 Dohertys Rd, Truganina VIC 3029, Australia",Victoria,VIC,3029,$1169K,5,3,2,Beautiful residential property located in the heart of Victoria.,-37.830357,144.754722,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.830357,144.754722&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', 'group', '3029', '5 beds', '3 baths']"
"25 Foliage Dr, Tarneit VIC 3029, Australia",Victoria,VIC,3029,$506K,1,1,2,Beautiful residential property located in the heart of Victoria.,-37.859463,144.642106,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.859463,144.642106&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '25', '3029', '1 beds', '1 baths']"
"48 Oronsay Cres, Diamond Creek VIC 3089, Australia",Victoria,VIC,3089,$614K,2,3,3,Beautiful residential property located in the heart of Victoria.,-37.684063,145.146425,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.684063,145.146425&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '48', '3089', '2 beds', '3 baths']"
"34 Milroy Cres, Seaford VIC 3198, Australia",Victoria,VIC,3198,$326K,1,1,3,Beautiful residential property located in the heart of Victoria.,-38.086114,145.134707,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.086114,145.134707&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '34', '3198', '1 beds', '1 baths']"
"67 Major Cres, Lysterfield VIC 3156, Australia",Victoria,VIC,3156,$1136K,5,2,1,Beautiful residential property located in the heart of Victoria.,-37.923968,145.274712,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.923968,145.274712&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '67', '3156', '5 beds', '2 baths']"
"26 Loganberry Rd, Manor Lakes VIC 3024, Australia",Victoria,VIC,3024,$987K,2,3,2,Beautiful residential property located in the heart of Victoria.,-37.861419,144.593557,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.861419,144.593557&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '26', '3024', '2 beds', '3 baths']"
"970A Springhill Rd, Eynesbury VIC 3338, Australia",Victoria,VIC,3338,$369K,2,3,3,Beautiful residential property located in the heart of Victoria.,-37.797728,144.548672,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.797728,144.548672&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '970a', '3338', '2 beds', '3 baths']"
"938-968 Nepean Hwy, Moorabbin VIC 3189, Australia",Victoria,VIC,3189,$693K,4,3,3,Beautiful residential property located in the heart of Victoria.,-37.936813,145.036477,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.936813,145.036477&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '938-968', '3189', '4 beds', '3 baths']"
"10 Bartletts Ln, Panton Hill VIC 3759, Australia",Victoria,VIC,3759,$328K,2,1,3,Beautiful residential property located in the heart of Victoria.,-37.657455,145.225062,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.657455,145.225062&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '10', '3759', '2 beds', '1 baths']"
"1 Lentini St, Hoppers Crossing VIC 3029, Australia",Victoria,VIC,3029,$1038K,4,3,2,Beautiful residential property located in the heart of Victoria.,-37.873478,144.726933,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.873478,144.726933&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '1', '3029', '4 beds', '3 baths']"
"161 Curlewis Rd, Wallington VIC 3222, Australia",Victoria,VIC,3222,$446K,4,1,2,Beautiful residential property located in the heart of Victoria.,-38.195047,144.509842,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.195047,144.509842&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '161', '3222', '4 beds', '1 baths']"
"7 Wheeler St, Pascoe Vale South VIC 3044, Australia",Victoria,VIC,3044,$598K,4,1,1,Beautiful residential property located in the heart of Victoria.,-37.743196,144.934504,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.743196,144.934504&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '7', '3044', '4 beds', '1 baths']"
"11 Yeneda St, Balwyn North VIC 3104, Australia",Victoria,VIC,3104,$427K,4,3,2,Beautiful residential property located in the heart of Victoria.,-37.800841,145.100764,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.800841,145.100764&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '11', '3104', '4 beds', '3 baths']"
"18 Eastern Ridge, Wallan VIC 3756, Australia",Victoria,VIC,3756,$634K,3,2,3,Beautiful residential property located in the heart of Victoria.,-37.390833,145.011826,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.390833,145.011826&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '18', '3756', '3 beds', '2 baths']"
"3 Axnick Rise, Officer VIC 3809, Australia",Victoria,VIC,3809,$455K,2,2,3,Beautiful residential property located in the heart of Victoria.,-38.051433,145.400001,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.051433,145.400001&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '3', '3809', '2 beds', '2 baths']"
"171 Moore St, Southbank VIC 3006, Australia",Victoria,VIC,3006,$1145K,3,3,2,Beautiful residential property located in the heart of Victoria.,-37.829059,144.965358,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.829059,144.965358&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '171', '3006', '3 beds', '3 baths']"
"12 Pastons Grove, Mount Martha VIC 3934, Australia",Victoria,VIC,3934,$555K,1,2,1,Beautiful residential property located in the heart of Victoria.,-38.288149,145.007009,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.288149,145.007009&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '12', '3934', '1 beds', '2 baths']"
"700 Wildwood Rd, Wildwood VIC 3429, Australia",Victoria,VIC,3429,$917K,2,2,3,Beautiful residential property located in the heart of Victoria.,-37.565846,144.792252,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.565846,144.792252&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '700', '3429', '2 beds', '2 baths']"
"22-30 Rhinds Rd, Wallington VIC 3222, Australia",Victoria,VIC,3222,$369K,2,3,3,Beautiful residential property located in the heart of Victoria.,-38.225743,144.507296,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.225743,144.507296&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '22-30', '3222', '2 beds', '3 baths']"
"20 Healey Dr, Epping VIC 3076, Australia",Victoria,VIC,3076,$508K,5,2,3,Beautiful residential property located in the heart of Victoria.,-37.636781,145.036442,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.636781,145.036442&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '20', '3076', '5 beds', '2 baths']"
"3 Medhurst St, Sandringham VIC 3191, Australia",Victoria,VIC,3191,$899K,5,1,3,Beautiful residential property located in the heart of Victoria.,-37.955917,145.019124,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.955917,145.019124&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '3', '3191', '5 beds', '1 baths']"
"Scottdale, 269 Mount Charlie Rd, Riddells Creek VIC 3431, Australia",Victoria,VIC,3431,$786K,2,1,2,Beautiful residential property located in the heart of Victoria.,-37.422525,144.684287,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.422525,144.684287&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', 'scottdale,', '3431', '2 beds', '1 baths']"
"113 Gap Rd, Riddells Creek VIC 3431, Australia",Victoria,VIC,3431,$994K,5,1,1,Beautiful residential property located in the heart of Victoria.,-37.451569,144.67316,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.451569,144.67316&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '113', '3431', '5 beds', '1 baths']"
"72 Settlement Rd, Bundoora VIC 3083, Australia",Victoria,VIC,3083,$450K,5,3,3,Beautiful residential property located in the heart of Victoria.,-37.682677,145.044585,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.682677,145.044585&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '72', '3083', '5 beds', '3 baths']"
"562-658 Andersons Rd, Mannerim VIC 3222, Australia",Victoria,VIC,3222,$303K,1,3,3,Beautiful residential property located in the heart of Victoria.,-38.193455,144.621019,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.193455,144.621019&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '562-658', '3222', '1 beds', '3 baths']"
"3A James St, Glen Huntly VIC 3163, Australia",Victoria,VIC,3163,$847K,2,1,2,Beautiful residential property located in the heart of Victoria.,-37.889902,145.040483,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.889902,145.040483&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '3a', '3163', '2 beds', '1 baths']"
"20 Medhurst Road, Gruyere VIC 3770, Australia",Victoria,VIC,3770,$646K,5,1,1,Beautiful residential property located in the heart of Victoria.,-38.006529,145.23869,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.006529,145.23869&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '20', '3770', '5 beds', '1 baths']"
"45 Salisbury Rd, Ashwood VIC 3147, Australia",Victoria,VIC,3147,$423K,4,3,1,Beautiful residential property located in the heart of Victoria.,-37.872427,145.10625,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.872427,145.10625&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '45', '3147', '4 beds', '3 baths']"
"74 Boundary Rd, Sunshine West VIC 3020, Australia",Victoria,VIC,3020,$1018K,4,1,1,Beautiful residential property located in the heart of Victoria.,-37.815718,144.81816,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.815718,144.81816&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '74', '3020', '4 beds', '1 baths']"
"50 Chadds Creek Rd, Strathewen VIC 3099, Australia",Victoria,VIC,3099,$659K,5,3,1,Beautiful residential property located in the heart of Victoria.,-37.543737,145.267988,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.543737,145.267988&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '50', '3099', '5 beds', '3 baths']"
"70 Katrina Dr, Gladstone Park VIC 3043, Australia",Victoria,VIC,3043,$649K,1,2,1,Beautiful residential property located in the heart of Victoria.,-37.69221,144.901659,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.69221,144.901659&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '70', '3043', '1 beds', '2 baths']"
"53 McIntyre Ave, Roxburgh Park VIC 3064, Australia",Victoria,VIC,3064,$1086K,4,3,3,Beautiful residential property located in the heart of Victoria.,-37.625917,144.928185,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.625917,144.928185&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '53', '3064', '4 beds', '3 baths']"
"1360 Skyline Rd, Yarra Glen VIC 3775, Australia",Victoria,VIC,3775,$322K,4,3,2,Beautiful residential property located in the heart of Victoria.,-37.618954,145.358128,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.618954,145.358128&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '1360', '3775', '4 beds', '3 baths']"
"160 Blackwood Park Rd, Rowville VIC 3178, Australia",Victoria,VIC,3178,$822K,2,3,1,Beautiful residential property located in the heart of Victoria.,-37.901799,145.281062,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.901799,145.281062&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '160', '3178', '2 beds', '3 baths']"
"30 De Lisle Ave, Sunbury VIC 3429, Australia",Victoria,VIC,3429,$709K,4,2,2,Beautiful residential property located in the heart of Victoria.,-37.558694,144.725153,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.558694,144.725153&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '30', '3429', '4 beds', '2 baths']"
"38 Salisbury Rd, Beaconsfield Upper VIC 3808, Australia",Victoria,VIC,3808,$730K,4,1,3,Beautiful residential property located in the heart of Victoria.,-38.007094,145.419004,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.007094,145.419004&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '38', '3808', '4 beds', '1 baths']"
"6 Gardiner Parade, Glen Iris VIC 3146, Australia",Victoria,VIC,3146,$761K,2,2,1,Beautiful residential property located in the heart of Victoria.,-37.85454,145.06607,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.85454,145.06607&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '6', '3146', '2 beds', '2 baths']"
"37 Mount Pleasant Rd, Nunawading VIC 3131, Australia",Victoria,VIC,3131,$1139K,2,3,3,Beautiful residential property located in the heart of Victoria.,-37.82378,145.179089,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.82378,145.179089&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '37', '3131', '2 beds', '3 baths']"
"34 Bennett St, Melton South VIC 3338, Australia",Victoria,VIC,3338,$788K,5,3,2,Beautiful residential property located in the heart of Victoria.,-37.711789,144.576919,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.711789,144.576919&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '34', '3338', '5 beds', '3 baths']"
"12 Margaret Cres, Braybrook VIC 3019, Australia",Victoria,VIC,3019,$705K,4,1,2,Beautiful residential property located in the heart of Victoria.,-37.787277,144.86036,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.787277,144.86036&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '12', '3019', '4 beds', '1 baths']"
"2 Alma Doepel Dr, Altona Meadows VIC 3028, Australia",Victoria,VIC,3028,$1184K,3,3,3,Beautiful residential property located in the heart of Victoria.,-37.880326,144.790413,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.880326,144.790413&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '2', '3028', '3 beds', '3 baths']"
"24 Laver St, Kew VIC 3101, Australia",Victoria,VIC,3101,$847K,5,2,2,Beautiful residential property located in the heart of Victoria.,-37.807842,145.014602,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.807842,145.014602&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '24', '3101', '5 beds', '2 baths']"
"15 Funnel Ct, Lyndhurst VIC 3975, Australia",Victoria,VIC,3975,$1055K,3,3,2,Beautiful residential property located in the heart of Victoria.,-38.066096,145.250861,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-38.066096,145.250861&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '15', '3975', '3 beds', '3 baths']"
"27 Piccolo Cct, Williamstown North VIC 3016, Australia",Victoria,VIC,3016,$741K,1,3,1,Beautiful residential property located in the heart of Victoria.,-37.854225,144.872775,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.854225,144.872775&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '27', '3016', '1 beds', '3 baths']"
"943 Ferntree Gully Rd, Wheelers Hill VIC 3150, Australia",Victoria,VIC,3150,$946K,2,1,2,Beautiful residential property located in the heart of Victoria.,-37.907336,145.196384,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=-37.907336,145.196384&key=AIzaSyA-Ak-lIaa8gikVxaSblzkEMhguKr4N3zI","['victoria', '943', '3150', '2 beds', '1 baths']"
